OrgId,econId,OrgName_x,FisYear,Id_A4,OrgName_y,BusTRBCId,Emission Reduction Processes/Policy Emissions Reduction,Emission Reduction Objectives/Targets Emissions Reduction,derivedEmissions,CO2 Equivalents Emission Total,CO2 Equivalents Emission Direct,CO2 Equivalents Emission Indirect,emissionIntensity,Energy Use Total,ESG SCORE,ESG Combined Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score,totalRevenue,totalAssets,employees,grossProfit,operatingIncome,earningsBeforeTax,propertyPlantEquipmentTotal,totalDebt,totalLiabilities,commonStock,netIncome,ebitda,enterpriseValue,totalAssets/commonEquity,ebit/interest,grossMargin,cf/sales,operatingMargin,roa,cogs/sales,sales/employee,totalAssets/employee,capex/totalAssets,capex/totalSales,capex,ISOCountryCodeDerived,Region,GDP PPP,econIdDesc_Basic Materials,econIdDesc_Consumer Cyclicals,econIdDesc_Consumer Non-Cyclicals,econIdDesc_Energy,econIdDesc_Financials,econIdDesc_Healthcare,econIdDesc_Industrials,econIdDesc_Real Estate,econIdDesc_Technology,econIdDesc_Utilities,IncomeGroup_High income,IncomeGroup_Upper middle income
10836.0,54.0,Siemens AG,2009,@SIEME18,Siemens AG,5440.0,1.0,1.0,2574000.0,2574000.0,1115000.0,1459000.0,22.9431764451866,23800000.0,0.883080316409637,0.774873491538152,0.666666666666667,0.925,0.977272727272727,0.775,0.982142857142857,0.807692307692308,0.875,0.613636363636364,0.993506493506494,0.967532467532468,0.951612903225806,112190.219438425,138938.41920408,405000.0,30452.6973638423,8699.93430407953,5695.0613016779,40153.768118795,28743.1544184915,94182.9361707452,4014.79135196671,3354.68530029446,12719.1166053921,63156.4220928,3.43898,6.69693,27.14381,9.35539,7.75463,2.97482,69.27372,189261.7284,226259.25926,3.19614,3.81339,4278.24831272282,DEU,Europe & Central Asia,36842.9161976041,0,0,1,0,0,0,0,0,0,0,1,0
13731.0,56.0,Novartis AG,2009,@NOVAR21,Novartis AG,5620.0,1.0,1.0,1509000.0,1509000.0,574000.0,935000.0,32.5855470760665,17000000.0,0.802761435333578,0.535996102282174,0.269230769230769,0.833333333333333,0.932692307692308,0.289473684210526,0.953333333333333,0.907407407407407,0.97972972972973,0.627118644067797,0.75,0.371621621621622,0.897727272727273,46308.8741912923,95562.2394086492,99834.0,33423.7362010479,9296.92468290182,10073.1504187759,25915.5227546622,13981.3744961735,33448.0345421949,957.573562788098,8787.4611608389,11667.4469436709,125060.5479315,1.58381,18.4755,72.17566,25.9855,20.0759,11.16311,22.7054,480394.98708,943431.89995,2.62346,4.26277,1974.04038220274,CHE,Europe & Central Asia,51796.5382482068,0,0,0,0,0,1,0,0,0,0,1,0
10364.0,56.0,Bayer AG,2009,@BAYER64,Bayer AG,5620.0,1.0,1.0,8100000.0,8100000.0,4570000.0,3530000.0,181.513567376796,77300000.0,0.74469301331176,0.449269583578957,0.153846153846154,0.774509803921569,0.778846153846154,0.789473684210526,0.98,0.907407407407407,0.925675675675676,0.677966101694915,0.396103896103896,0.616883116883117,0.951612903225806,44624.7634105804,73079.3497819188,108400.0,23172.8630582727,5338.99328664188,2677.37126468767,35127.9700423059,17809.5300328609,44586.1061784164,3031.01335152075,1945.74735225162,9147.44652945964,55963.19733152,2.65079,3.29448,51.92826,12.60588,11.96419,3.84692,39.53735,287527.67528,462103.32103,3.06689,5.05326,2255.00520956314,DEU,Europe & Central Asia,36842.9161976041,0,0,0,0,0,1,0,0,0,0,1,0
11024.0,57.0,Indra Sistemas SA,2009,@INDRA1,Indra Sistemas SA,5720.0,1.0,1.0,34246.0,34246.0,1925.0,32321.0,9.51716695767666,363015.0,0.799542061443264,0.799542061443264,1.0,0.789855072463768,0.993243243243243,0.725490196078431,0.988188976377953,0.833333333333333,0.948412698412698,0.782828282828283,0.75,0.945652173913043,0.225,3598.33973201203,3564.38150118001,25271.0,2376.63804294297,395.80567312922,373.320049753862,447.561979999378,288.347158209504,2071.33324555755,46.9986038153141,280.035853294257,455.994983608474,2856.32569754,2.63819,10.79762,66.04818,10.15849,10.99967,8.83069,32.27912,99451.82225,97275.92893,1.18409,1.1445,41.1828379986503,ESP,Europe & Central Asia,32116.0044695561,0,0,0,0,0,0,0,0,1,0,1,0
148692.0,51.0,Novozymes A/S,2009,@NOVOZ1,Novozymes A/S,5110.0,1.0,1.0,430000.0,430000.0,44000.0,386000.0,264.560940814393,3530000.0,0.669425308736238,0.669425308736238,1.0,0.93298969072165,0.631313131313131,0.547619047619048,0.94811320754717,0.77,0.266990291262136,0.804347826086957,0.543478260869565,0.195652173913043,0.921052631578947,1625.33440755214,2095.15763473518,5275.0,871.154616169045,312.445913572996,311.868735161224,2025.89622532244,425.957667888309,959.46291317028,125.055322550768,229.717007885565,420.955454986278,34327.6323,1.85697,8.61321,53.59848,23.55587,19.22348,13.00458,39.72538,1601516.58768,2052701.4218,10.23638,11.94366,194.124339159577,DNK,Europe & Central Asia,40361.096387828,1,0,0,0,0,0,0,0,0,0,1,0
93444.0,57.0,Deutsche Telekom AG,2009,@DEUTS76,Deutsche Telekom AG,5740.0,1.0,1.0,3361095.0,3361095.0,397878.0,2963217.0,36.3177694499698,28481072.0,0.732378392893525,0.511350486769343,0.290322580645161,0.678571428571429,0.939189189189189,0.776785714285714,0.986111111111111,0.821428571428571,0.813084112149533,0.915730337078652,0.149350649350649,0.772727272727273,0.806451612903226,92546.8455498109,182940.340093156,259920.0,41578.0008163262,11622.9411372911,3801.29449612073,181126.31368013,67200.5869943211,115506.377956512,15985.4813744587,505.407516810025,27834.6389073759,91933.62201065,3.37272,1.91678,44.92644,24.25316,12.55898,1.08988,37.55627,248688.05786,471729.763,6.50437,11.7638,10887.0219768369,DEU,Europe & Central Asia,36842.9161976041,0,0,0,0,0,0,0,0,1,0,1,0
47948.0,59.0,EDP - Energias de Portugal SA,2009,@ELECD5,EDP - Energias de Portugal SA,5910.0,1.0,1.0,21313000.0,21313000.0,20039000.0,1274000.0,1220.34450259026,8867156.0,0.852112708790061,0.852112708790061,1.0,0.862637362637363,0.905,0.8671875,0.94811320754717,0.709677419354839,0.872641509433962,0.885057471264368,0.875,0.458333333333333,0.8,17464.7404521934,57644.4576381736,12096.0,3236.36629577295,2427.44653175044,2244.57062037756,64290.7884053731,22958.8151002823,42410.6117366678,5235.24586600991,1465.88940240328,4406.82853948338,27703.995470336,5.43127,3.12722,18.53086,28.93396,13.89913,3.76674,70.13555,1008447.66865,3273827.87698,9.7174,28.01674,4893.05061514537,PRT,Europe & Central Asia,26478.3689731108,0,0,0,0,0,0,0,0,0,1,1,0
114349585.0,57.0,SAP SE,2009,@SAPAG5,SAP SE,5720.0,1.0,1.0,232000.0,232000.0,131000.0,101000.0,15.1836147826086,2970400.0,0.827358845207701,0.827358845207701,0.925925925925926,0.963768115942029,0.925675675675676,0.725490196078431,0.909448818897638,0.981481481481482,0.55952380952381,0.782828282828283,0.915584415584416,0.850649350649351,0.806451612903226,15279.628950132,19148.2156652047,47584.0,10179.7378031707,3951.62817675827,3486.30964145159,3668.14180755605,1252.78067197952,6421.39578723219,1755.32469011074,2502.69784528024,4661.77584910324,37748.645719,1.53073,25.10891,66.62294,21.41117,25.86207,13.77407,28.72939,224277.06792,272696.70477,1.67174,2.10832,322.143601366163,DEU,Europe & Central Asia,36842.9161976041,0,0,0,0,0,0,0,0,1,0,1,0
95175.0,52.0,G4S PLC,2009,@SECUR20,G4S Ltd,5220.0,1.0,1.0,596600.0,596600.0,464720.0,131880.0,52.6871704648574,6365912.25,0.59968695216769,0.59968695216769,1.0,0.412162162162162,0.673333333333333,0.0,0.883177570093458,0.854838709677419,0.466981132075472,0.160919540229885,0.671383647798742,0.998427672955975,0.521653543307087,11323.439743228,8343.05146392368,595002.0,2126.84074964835,656.761443886399,487.279831429613,1824.71432896752,3072.6418548171,5730.06183736163,569.677946160748,347.364601317529,1011.23490216112,5217.714131736,3.54432,3.98614,18.78264,6.75599,5.80002,5.31733,78.08692,11779.12007,8379.46763,3.42448,2.66958,302.287985611673,GBR,Europe & Central Asia,35043.5945011121,0,0,0,0,0,0,1,0,0,0,1,0
12309.0,54.0,British American Tobacco PLC,2009,@BRITA19,British American Tobacco PLC,5410.0,1.0,1.0,760625.0,760625.0,393531.0,367094.0,33.1352726192989,10006647.0,0.817805851142167,0.627652925571083,0.4375,0.942307692307692,0.967948717948718,0.0,0.984375,0.881578947368421,0.911458333333333,0.777173913043478,0.580188679245283,0.737421383647799,0.887795275590551,22955.1453745091,42998.8906951848,95710.0,12110.0993915141,6839.0435226842,5811.49056250769,9920.08675390526,17529.7949967218,29650.3961087409,817.518550077535,4383.25657383468,7653.33077414482,48736.495171295,3.44989,6.97508,52.75549,24.16244,29.79307,11.70615,43.69721,148448.43799,274412.28712,1.65691,3.16723,727.042188804131,GBR,Europe & Central Asia,35043.5945011121,0,0,1,0,0,0,0,0,0,0,1,0
