OrgId,econId,OrgName_x,FisYear,Id_A4,OrgName_y,BusTRBCId,Emission Reduction Processes/Policy Emissions Reduction,Emission Reduction Objectives/Targets Emissions Reduction,derivedEmissions,CO2 Equivalents Emission Total,CO2 Equivalents Emission Direct,CO2 Equivalents Emission Indirect,emissionIntensity,"CO2e Indirect Emissions, Scope 3",Energy Use Total,Direct Energy/Energy Purchased Direct,ESG SCORE,ESG Combined Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score,totalRevenue,totalAssets,employees,grossProfit,researchAndDevelopment,operatingIncome,earningsBeforeTax,shortTermInvestments,propertyPlantEquipmentTotal,totalDebt,totalLiabilities,commonStock,netIncome,ebitda,enterpriseValue,totalAssets/commonEquity,ebit/interest,grossMargin,cf/sales,operatingMargin,roa,cogs/sales,rnd/sales,sales/employee,totalAssets/employee,capex/fixedAssets,capex/totalAssets,capex/totalSales,sga/sales,capex,ISOCountryCodeDerived,Region,GDP PPP,econIdDesc_Basic Materials,econIdDesc_Consumer Cyclicals,econIdDesc_Consumer Non-Cyclicals,econIdDesc_Energy,econIdDesc_Financials,econIdDesc_Healthcare,econIdDesc_Industrials,econIdDesc_Technology,econIdDesc_Utilities,IncomeGroup_High income,IncomeGroup_Upper middle income
10057.0,50.0,OMV AG,2015,@OMVAG2,OMV AG,5010.0,1.0,1.0,12600000.0,12600000.0,12200000.0,400000.0,515.012445864962,112000000.0,137800000.0,5512000.0,0.764754688981882,0.764754688981882,1.0,0.80188679245283,0.946927374301676,0.0,0.983796296296296,0.854651162790698,0.743055555555556,0.838926174496644,0.766666666666667,0.966666666666667,0.75,24465.4281681257,35474.7079364167,24124.0,2520.7199706228,30.4093749148809,890.560265364369,-2118.88180210473,1937.51160171955,38642.7131730849,8262.66158401478,21446.2116587197,355.138057041644,-1194.65401451317,3222.30769187327,15630.78426539,3.36977,-4.63873,10.30319,14.35611,3.64008,-2.31253,80.16602,0.1243,933800.36478,1318769.68994,8.88027,8.91724,13.21969,5.65544,3234.2542320184,AUT,Europe & Central Asia,49865.9039424184,0,0,0,1,0,0,0,0,0,1,0
10057.0,50.0,OMV AG,2016,@OMVAG2,OMV AG,5010.0,1.0,1.0,11400000.0,11400000.0,11000000.0,400000.0,535.033795200096,113000000.0,126800000.0,148132300.0,0.79642761476647,0.72032919199862,0.644230769230769,0.937869822485207,0.956852791878173,0.0,0.976495726495726,0.850515463917526,0.711538461538462,0.875739644970414,0.96875,0.59375,0.75,21307.0652775055,35525.0508925887,22544.0,2815.49746268181,30.9760035186997,1048.75897627597,-368.393184704535,900.516673722198,38705.6226824552,8304.88780053138,21659.9704604507,361.755469664814,-445.833193501285,3325.4952349004,18590.60689448,3.60122,-0.42366,13.21391,15.71651,4.92212,-0.57381,76.10073,0.14538,854329.31157,1387198.36764,5.68281,6.35569,10.49844,6.98858,2236.9099683861,AUT,Europe & Central Asia,52684.0171130768,0,0,0,1,0,0,0,0,0,1,0
10057.0,50.0,OMV AG,2017,@OMVAG2,OMV AG,5010.0,1.0,1.0,11400000.0,11400000.0,11100000.0,300000.0,499.924283932579,108000000.0,130800000.0,160414800.0,0.775010407381697,0.775010407381697,1.0,0.921195652173913,0.932558139534884,0.0,0.931102362204724,0.785046728971963,0.714566929133858,0.887096774193548,0.972222222222222,0.527777777777778,0.777777777777778,22803.4531755961,35606.8557745338,20721.0,4959.42968382315,37.2126374638845,4037.0073369911,1559.54780644097,882.954398006714,38698.8876510784,9265.94672850724,21119.8632442755,368.743407596673,490.530221114841,6022.80899074567,23829.02125651,3.4315,6.36364,21.74859,19.14746,17.70349,1.79676,69.54307,0.16319,975918.15067,1487959.07533,4.53311,5.07147,7.84294,2.34398,1788.4619096279,AUT,Europe & Central Asia,54169.9639937065,0,0,0,1,0,0,0,0,0,1,0
10057.0,50.0,OMV AG,2018,@OMVAG2,OMV AG,5010.0,1.0,1.0,11500000.0,11500000.0,11100000.0,400000.0,437.231544701264,106300000.0,127400000.0,156096000.0,0.767943024511425,0.767943024511425,0.844444444444444,0.9175,0.925339366515837,0.0,0.931372549019608,0.752032520325203,0.707843137254902,0.879807692307692,0.983333333333333,0.483333333333333,0.8,26301.8534215258,42396.1100877896,20231.0,6144.74613079433,45.8819946297878,3877.02854621707,3693.50056769791,2607.24434483769,42281.4051012152,9208.51632219841,26206.648282669,375.085306098515,1649.45770694087,5847.66021556645,17662.444532,3.64976,9.22365,23.36241,18.71784,14.74051,4.94333,69.14522,0.17444,1133409.12461,1789432.05971,9.30416,10.35612,13.92499,6.7379,3662.53022132281,AUT,Europe & Central Asia,57050.351354909,0,0,0,1,0,0,0,0,0,1,0
10057.0,50.0,OMV AG,2019,@OMVAG2,OMV AG,5010.0,1.0,1.0,11000000.0,11000000.0,10600000.0,400000.0,418.179977835556,126100000.0,117400000.0,131595000.0,0.772354761051164,0.640985072833274,0.509615384615385,0.915137614678899,0.952479338842975,0.0,0.908239700374532,0.75,0.769662921348315,0.870044052863436,0.984848484848485,0.53030303030303,0.742424242424242,26304.4635875072,45268.4334574658,19845.0,6585.92639329174,54.9387799236117,3705.5646458681,3787.41221595837,2814.21097159725,43744.7232142783,10775.8492621598,27820.3254335628,366.632266020837,1881.37291248613,6279.8389051459,24394.15770912,3.59991,9.75844,25.0373,18.17484,14.08721,5.03478,65.17625,0.20886,1182212.14412,1999949.60947,5.85443,5.961,9.19824,8.06445,2419.54871581947,AUT,Europe & Central Asia,58649.6683148851,0,0,0,1,0,0,0,0,0,1,0
10057.0,50.0,OMV AG,2020,@OMVAG2,OMV AG,5010.0,1.0,1.0,10400000.0,10400000.0,10100000.0,300000.0,514.448304048338,117700000.0,131100000.0,150893000.0,0.810176304422883,0.468580215703505,0.126984126984127,0.90702479338843,0.937735849056604,0.289772727272727,0.949477351916376,0.697368421052632,0.85191637630662,0.869140625,0.987179487179487,0.67948717948718,0.756410256410256,20215.8310527209,60184.5445195535,25291.0,4961.73448556811,74.5115223091223,2010.58960198058,966.206789287143,2648.21279288815,50765.555199461,18522.8315458283,38380.7629913923,399.430619591524,1536.64746007993,4572.07586890237,27091.171073,4.57496,3.11321,24.54381,16.83384,9.94562,3.69556,62.7855,0.36858,654382.98209,1901546.00451,5.02358,4.9384,11.8429,11.45619,2394.1407168177,AUT,Europe & Central Asia,55685.970293336,0,0,0,1,0,0,0,0,0,1,0
10062.0,59.0,VERBUND AG,2018,@OESTE3,VERBUND AG,5910.0,1.0,1.0,1481000.0,1481000.0,1070000.0,411000.0,453.361375318082,327000.0,27855734.0,139722718.0,0.674087808408532,0.674087808408532,1.0,0.758928571428571,0.951977401129944,0.978260869565217,0.889784946236559,0.0,0.271505376344086,0.733128834355828,0.616666666666667,0.0166666666666667,0.583333333333333,3266.70969480123,13425.9869744687,2784.0,1221.24334516079,12.0440235903193,577.213845240582,691.665333794722,79.4905556961073,20478.8754249705,2553.74249794976,6568.20826498063,398.503476157559,496.87561969369,952.685707143854,15691.19614664,2.20625,7.56867,37.38451,25.05278,17.66958,4.37402,51.12161,0.36869,1022960.8477,4204309.62644,1.64907,2.61935,10.37798,18.83706,339.018617169905,AUT,Europe & Central Asia,57050.351354909,0,0,0,0,0,0,0,0,1,1,0
10062.0,59.0,VERBUND AG,2019,@OESTE3,VERBUND AG,5910.0,1.0,1.0,1465000.0,1465000.0,1073000.0,392000.0,335.463118026034,373000.0,27485637.0,143517901.0,0.749389520181023,0.749389520181023,1.0,0.859042553191489,0.940721649484536,0.963483146067416,0.928217821782178,0.533557046979866,0.329207920792079,0.701704545454545,0.712121212121212,0.0151515151515152,0.742424242424242,4367.09707052298,13273.4659842507,2843.0,1527.96519563262,19.6209928298613,878.58545333676,910.992606294149,0.0,20430.369996089,1907.46995414944,5861.42852084645,389.522676855949,622.060593079153,1286.95101050691,17880.22379164,2.0107,11.76351,34.98812,23.84942,20.11829,5.19611,55.66092,0.44929,1370039.39501,4164132.6064,2.19096,3.34191,10.04266,13.99178,438.572916531421,AUT,Europe & Central Asia,58649.6683148851,0,0,0,0,0,0,0,0,1,1,0
10062.0,59.0,VERBUND AG,2020,@OESTE3,VERBUND AG,5910.0,1.0,1.0,830000.0,830000.0,654000.0,176000.0,210.070718094545,4310000.0,28242714.0,140109689.0,0.733730234354345,0.733730234354345,1.0,0.868663594470046,0.922222222222222,0.978048780487805,0.873390557939914,0.519021739130435,0.349785407725322,0.675742574257426,0.628205128205128,0.115384615384615,0.756410256410256,3951.05042496425,14724.2121515027,2980.0,1834.77905434202,16.6124049738371,1074.13489710135,1176.05444461658,0.0,22956.6164723257,1691.05732131101,6277.37588447772,424.368771058131,771.288311427576,1536.96138567392,26324.9456671,1.95966,19.85226,46.43775,33.06103,27.18606,5.57313,41.84824,0.42046,1085432.21477,4045034.22819,3.30568,5.08806,18.62237,18.25002,735.779295796,AUT,Europe & Central Asia,55685.970293336,0,0,0,0,0,0,0,0,1,1,0
10101.0,51.0,Wienerberger AG,2016,@WIENE8,Wienerberger AG,5120.0,1.0,1.0,2046000.0,2046000.0,2419500.0,236000.0,621.902472568789,30969982.410599105,27324000.0,27324000.0,0.632358046770786,0.632358046770786,1.0,0.766666666666667,0.677083333333333,0.981481481481482,0.676470588235294,0.3,0.0686274509803922,0.602272727272727,0.65625,0.53125,0.96875,3289.90491314325,4023.75741250477,15990.0,993.986764339875,16.459320726829,147.077383564306,140.508258246661,58.3455151991508,4587.25516794351,1269.28931446983,2253.32614396517,130.018455912222,90.6756125859536,356.049247302333,2846.615055125,2.31573,2.88228,30.21324,10.83391,4.47057,3.46847,63.43485,0.5003,185980.55034,226379.61226,3.99142,4.45326,5.50048,24.53056,180.960706270403,AUT,Europe & Central Asia,52684.0171130768,1,0,0,0,0,0,0,0,0,1,0
